C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0.075,0.15,0.0129103,0.07145,1.75,0.111805,0.25,9.53607e-05,1
0.1,0.15,0.0072986,0.0961,2.08333,0.14874,0.25,0.000298623,1
0.125,0.15,0.0017716,0.12075,2.41667,0.186707,0.25,0.000741008,1
0.15,0.15,-0.00364429,0.1454,2.75,0.224463,0.25,0.00154639,1
0.175,0.15,-0.0089309,0.17005,3.08333,0.261081,0.25,0.00282584,1
0.2,0.15,-0.0140835,0.1947,3.41667,0.295931,0.25,0.00465381,1
0.225,0.15,-0.0191121,0.21935,3.75,0.328628,0.25,0.00705591,1
0.25,0.15,-0.0240395,0.244,4.08333,0.358981,0.25,0.0100092,1
0.275,0.15,-0.0288969,0.26865,4.41667,0.386937,0.25,0.0134517,1
0.3,0.15,-0.0337194,0.2933,4.75,0.412541,0.25,0.0172964,1
0.325,0.15,-0.0385419,0.31795,5.08333,0.435899,0.25,0.0214449,1
0.35,0.15,-0.043396,0.3426,5.41667,0.457153,0.25,0.0257983,1
0.375,0.15,-0.0483087,0.36725,5.75,0.476463,0.25,0.0302656,1
0.4,0.15,-0.0533011,0.3919,6.08333,0.493994,0.25,0.0347673,1
0.425,0.15,-0.058389,0.41655,6.41667,0.509909,0.25,0.0392381,1
0.45,0.15,-0.0635827,0.4412,6.75,0.524361,0.25,0.0436262,1
0.475,0.15,-0.0688883,0.46585,7.08333,0.537495,0.25,0.0478926,1
0.5,0.15,-0.0743084,0.4905,7.41667,0.549445,0.25,0.0520094,1
0.525,0.15,-0.0798425,0.51515,7.75,0.560329,0.25,0.0559577,1
0.55,0.15,-0.085488,0.5398,8.08333,0.570257,0.25,0.0597262,1
0.575,0.15,-0.0912407,0.56445,8.41667,0.579327,0.25,0.0633095,1
0.6,0.15,-0.0970954,0.5891,8.75,0.587625,0.25,0.0667065,1
0.625,0.15,-0.103046,0.61375,9.08333,0.595229,0.25,0.0699194,1
0.65,0.15,-0.109087,0.6384,9.41667,0.60221,0.25,0.0729531,1
0.675,0.15,-0.115212,0.66305,9.75,0.608628,0.25,0.0758137,1
0.7,0.15,-0.121414,0.6877,10.0833,0.614539,0.25,0.0785087,1
0.725,0.15,-0.127687,0.71235,10.4167,0.619991,0.25,0.0810462,1
0.75,0.15,-0.134026,0.737,10.75,0.625029,0.25,0.0834345,1
0.775,0.15,-0.140425,0.76165,11.0833,0.629691,0.25,0.0856821,1
0.8,0.15,-0.146879,0.7863,11.4167,0.634011,0.25,0.0877974,1
0.825,0.15,-0.153383,0.81095,11.75,0.638022,0.25,0.0897884,1
0.85,0.15,-0.159934,0.8356,12.0833,0.64175,0.25,0.0916629,1
0.875,0.15,-0.166526,0.86025,12.4167,0.645221,0.25,0.0934285,1
0.9,0.15,-0.173157,0.8849,12.75,0.648456,0.25,0.0950923,1
0.925,0.15,-0.179823,0.90955,13.0833,0.651477,0.25,0.0966609,1
0.95,0.15,-0.18652,0.9342,13.4167,0.6543,0.25,0.0981405,1
0.975,0.15,-0.193247,0.95885,13.75,0.656943,0.25,0.0995371,1
1,0.15,-0.2,0.9835,14.0833,0.659419,0.25,0.100856,1
0,0.175,0.0300186,-0.01125,0.875,0.031669,0.291667,1.13737e-06,1
0.025,0.175,0.0243006,0.012675,1.20833,0.0580588,0.291667,1.28479e-05,1
0.05,0.175,0.0186154,0.0366,1.54167,0.0899208,0.291667,7.39211e-05,1
0.075,0.175,0.0129919,0.060525,1.875,0.125442,0.291667,0.000279891,1
0.1,0.175,0.00747355,0.08445,2.20833,0.16293,0.291667,0.000796053,1
0.125,0.175,0.00211144,0.108375,2.54167,0.200947,0.291667,0.00183948,1
0.15,0.175,-0.00304952,0.1323,2.875,0.238368,0.291667,0.00363398,1
0.175,0.175,-0.00798369,0.156225,3.20833,0.274383,0.291667,0.00635812,1
0.2,0.175,-0.012692,0.18015,3.54167,0.308459,0.291667,0.0101073,1
0.225,0.175,-0.0172019,0.204075,3.875,0.340291,0.291667,0.0148804,1
0.25,0.175,-0.021561,0.228,4.20833,0.369745,0.291667,0.0205898,1
0.275,0.175,-0.0258288,0.251925,4.54167,0.39681,0.291667,0.0270856,1
0.3,0.175,-0.0300673,0.27585,4.875,0.421557,0.291667,0.0341842,1
0.325,0.175,-0.0343347,0.299775,5.20833,0.444108,0.291667,0.0416941,1
0.35,0.175,-0.0386811,0.3237,5.54167,0.464614,0.291667,0.0494348,1
0.375,0.175,-0.0431461,0.347625,5.875,0.483237,0.291667,0.0572482,1
0.4,0.175,-0.0477592,0.37155,6.20833,0.500143,0.291667,0.0650039,1
0.425,0.175,-0.0525397,0.395475,6.54167,0.515491,0.291667,0.0726,1
0.45,0.175,-0.057499,0.4194,6.875,0.529433,0.291667,0.079961,1
0.475,0.175,-0.0626416,0.443325,7.20833,0.542109,0.291667,0.0870344,1
0.5,0.175,-0.0679667,0.46725,7.54167,0.553645,0.291667,0.0937862,1
0.525,0.175,-0.07347,0.491175,7.875,0.564159,0.291667,0.100198,1
0.55,0.175,-0.0791442,0.5151,8.20833,0.573754,0.291667,0.106261,1
