seed_label,direction,f_ras,C,A,T,R,L,M
slightly_more_benign,down,0.3877551020408164,0.07163861316369582,0.17474787165402855,0.11586564784437868,0.05599330920573763,0.2621218074842853,7.898957535685862e-05
slightly_more_benign,down,0.3673469387755103,0.06696171266345338,0.16641705105962817,0.11022201017043576,0.05008017448659782,0.2496255765899901,4.5050369470578525e-05
slightly_more_benign,down,0.34693877551020413,0.06243881219453373,0.1580326115915613,0.1045595494671745,0.044443792534758525,0.2370489173725573,2.4753821156965333e-05
slightly_more_benign,down,0.326530612244898,0.05805592267756585,0.14958565232750287,0.09887138110153369,0.039097206397448694,0.22437847848120962,1.3041361260133915e-05
slightly_more_benign,down,0.30612244897959184,0.05380216231044983,0.14106896795039867,0.09315197399780817,0.034054547803520616,0.21160345184664137,6.551274186655513e-06
slightly_more_benign,down,0.2857142857142858,0.04966862934263203,0.13247635571846356,0.0873966109903362,0.029330052118133075,0.1987145335563792,3.117340923144879e-06
slightly_more_benign,down,0.26530612244897966,0.04564757321601822,0.12380206887244252,0.08160096890530215,0.024937282328782357,0.18570310329219766,1.3938815648486897e-06
slightly_more_benign,down,0.24489795918367352,0.04173179774634178,0.11504038929843241,0.07576079514851006,0.020888524698328508,0.17256058393836157,5.799095351558146e-07
slightly_more_benign,down,0.22448979591836737,0.03791424383141565,0.10618529695288163,0.06987166172899759,0.01719431734219841,0.15927794542175022,2.2170717486091855e-07
slightly_more_benign,down,0.20408163265306134,0.034187707450010714,0.09723021519739433,0.06392877952327483,0.0138630735943094,0.14584532278212634,7.665137150504644e-08
slightly_more_benign,down,0.1836734693877552,0.03054465498294585,0.08816781186997488,0.05792685657313453,0.010900759988031269,0.1322517177904421,2.3463413397091308e-08
slightly_more_benign,down,0.16326530612244905,0.02697710400133013,0.07898983706689615,0.05185998551747688,0.008310587362674933,0.11848475557906968,6.17899070680912e-09
slightly_more_benign,down,0.1428571428571429,0.023476544019303675,0.06968698057263396,0.045721547084779206,0.006092669906389332,0.10453047084247015,1.3445123768405408e-09
slightly_more_benign,down,0.12244897959183676,0.02003387823454523,0.06024873468548761,0.039504118947631124,0.004243597325540291,0.09037310201726075,2.278214485086735e-10
slightly_more_benign,down,0.10204081632653073,0.01663937387748868,0.05066325184667371,0.03319938215309203,0.0027558436611071816,0.0759948777697949,2.7417257178955075e-11
